,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
106,2020-12-02,584.0443210915852,514.1927004881062,660.6712305208711,584.0443210915852,584.0443210915852,5.138764625639848,5.138764625639848,5.138764625639848,5.138764625639848,5.138764625639848,5.138764625639848,0.0,0.0,0.0,589.183085717225
107,2020-12-03,587.7402384369187,525.8576364137738,665.8218140879064,587.7402384369187,587.7402384369187,4.311650446179693,4.311650446179693,4.311650446179693,4.311650446179693,4.311650446179693,4.311650446179693,0.0,0.0,0.0,592.0518888830984
108,2020-12-04,591.4361557822522,529.9199013892802,667.3480177487693,591.4361557822522,591.4361557822522,5.694601882358815,5.694601882358815,5.694601882358815,5.694601882358815,5.694601882358815,5.694601882358815,0.0,0.0,0.0,597.130757664611
109,2020-12-07,602.5239078182526,526.9992708879724,672.246836078832,602.5239078182526,602.5239078182526,2.647085736005679,2.647085736005679,2.647085736005679,2.647085736005679,2.647085736005679,2.647085736005679,0.0,0.0,0.0,605.1709935542583
110,2020-12-08,606.219825163586,547.0435903246964,685.5175973131071,606.219825163586,606.219825163586,5.945052506916581,5.945052506916581,5.945052506916581,5.945052506916581,5.945052506916581,5.945052506916581,0.0,0.0,0.0,612.1648776705026
111,2020-12-09,609.9157425089196,545.7023188287276,681.9818419918248,609.9157425089196,609.9157425089196,5.138764625640528,5.138764625640528,5.138764625640528,5.138764625640528,5.138764625640528,5.138764625640528,0.0,0.0,0.0,615.0545071345601
112,2020-12-10,613.611659854253,547.8865164319184,684.5797238060139,613.611659854253,613.611659854253,4.3116504461661025,4.3116504461661025,4.3116504461661025,4.3116504461661025,4.3116504461661025,4.3116504461661025,0.0,0.0,0.0,617.9233103004192
113,2020-12-11,617.3075771995865,553.8314084397543,691.4088820839643,617.3075771995865,617.3075771995865,5.694601882355747,5.694601882355747,5.694601882355747,5.694601882355747,5.694601882355747,5.694601882355747,0.0,0.0,0.0,623.0021790819422
114,2020-12-14,628.3953291665908,563.5208855070114,698.2347848531418,628.3953291665908,628.3953291665908,2.6470857360331523,2.6470857360331523,2.6470857360331523,2.6470857360331523,2.6470857360331523,2.6470857360331523,0.0,0.0,0.0,631.042414902624
115,2020-12-15,632.0912464889255,567.9220836922929,705.0425098333515,632.0912464889255,632.0912464889255,5.945052506923569,5.945052506923569,5.945052506923569,5.945052506923569,5.945052506923569,5.945052506923569,0.0,0.0,0.0,638.0362989958492
116,2020-12-16,635.7871638112604,572.0821886121084,717.7378876625279,635.7871638112604,635.7871638112604,5.138764625641211,5.138764625641211,5.138764625641211,5.138764625641211,5.138764625641211,5.138764625641211,0.0,0.0,0.0,640.9259284369016
117,2020-12-17,639.4830811335951,569.1775253333648,717.410950808037,639.4830811335951,639.4830811335951,4.311650446169115,4.311650446169115,4.311650446169115,4.311650446169115,4.311650446169115,4.311650446169115,0.0,0.0,0.0,643.7947315797642
118,2020-12-18,643.1789984559298,573.9532824140239,727.0723646662055,643.1789984559298,643.1789984559298,5.694601882339952,5.694601882339952,5.694601882339952,5.694601882339952,5.694601882339952,5.694601882339952,0.0,0.0,0.0,648.8736003382697
119,2020-12-21,654.266750422934,584.3520970413308,723.9612939472056,654.266750422934,654.266750422934,2.6470857360318703,2.6470857360318703,2.6470857360318703,2.6470857360318703,2.6470857360318703,2.6470857360318703,0.0,0.0,0.0,656.9138361589659
120,2020-12-22,657.9626677452687,595.0591892301529,734.2918997318268,657.9626677452688,657.9626677452688,5.9450525069303515,5.9450525069303515,5.9450525069303515,5.9450525069303515,5.9450525069303515,5.9450525069303515,0.0,0.0,0.0,663.907720252199
121,2020-12-23,661.6585850676036,603.4570355153633,739.0964705950514,661.6585850676036,661.6585850676036,5.138764625641894,5.138764625641894,5.138764625641894,5.138764625641894,5.138764625641894,5.138764625641894,0.0,0.0,0.0,666.7973496932455
122,2020-12-24,665.3545024057505,596.3278200622757,741.9050658080067,665.3545024057505,665.3545024057505,4.311650446172163,4.311650446172163,4.311650446172163,4.311650446172163,4.311650446172163,4.311650446172163,0.0,0.0,0.0,669.6661528519227
123,2020-12-28,680.1381717583383,613.6917999278367,753.670309606611,680.1381717583383,680.1381717583383,2.647085736044966,2.647085736044966,2.647085736044966,2.647085736044966,2.647085736044966,2.647085736044966,0.0,0.0,0.0,682.7852574943832
124,2020-12-29,683.8340890964853,619.5830097481954,766.0039449548326,683.8340890964853,683.8340890964853,5.945052506914046,5.945052506914046,5.945052506914046,5.945052506914046,5.945052506914046,5.945052506914046,0.0,0.0,0.0,689.7791416033994
125,2020-12-30,687.5300064346322,624.0598824369804,761.9795971628698,687.5300064346322,687.5300064346322,5.138764625636149,5.138764625636149,5.138764625636149,5.138764625636149,5.138764625636149,5.138764625636149,0.0,0.0,0.0,692.6687710602683
